name,danceability,energy,acousticness,liveness,valence,n_loudness,n_tempo,n_key,cluster_id
星空のSpica,0.654,0.871,0.574,0.0902,0.747,0.7351672060409924,0.5351870275294648,0.18181818181818182,3
Endless Story,0.373,0.881,0.00459,0.423,0.702,0.7574613448399856,0.9036432425366903,0.18181818181818182,1
PINK AQUARIUM,0.628,0.891,0.0626,0.222,0.926,0.8740261296895601,0.6296411947105086,0.45454545454545453,4
in the Oak wood,0.697,0.545,0.193,0.198,0.412,0.532542250988853,0.4915509015518455,0.18181818181818182,3
Non-Stopping Train,0.645,0.856,0.273,0.0499,0.92,0.7602181469495386,0.2737696703871263,0.18181818181818182,3
空の向こう側に,0.601,0.848,0.003,0.207,0.653,0.752487114946662,0.5635225515042808,0.18181818181818182,3
LUNATICA MARE,0.706,0.874,0.0339,0.107,0.593,0.8037276758959607,0.4045836449853675,0.18181818181818182,3
恋歌姫,0.747,0.678,0.0817,0.145,0.857,0.7009469015941509,0.41130806712803275,0.36363636363636365,3
W:Wonder tale,0.461,0.918,0.00387,0.395,0.58,0.9377921610931319,0.2118991772386298,0.7272727272727273,4
Cursed Lily,0.589,0.504,0.0662,0.114,0.368,0.5589715929521755,0.23744617194478126,0.5454545454545454,0
スパークリング☆トラベラー,0.45,0.889,0.00717,0.188,0.756,0.914479204123217,0.8110626184580305,0.8181818181818182,4
YOURS EVER,0.348,0.328,0.675,0.087,0.329,0.47261177034639823,0.12822151379377952,0.45454545454545453,2
Passion Error,0.683,0.857,0.000886,0.0745,0.576,0.8856526429341963,0.34613345726796746,0.09090909090909091,3
Interlude 〜aria〜,0.297,0.142,0.993,0.145,0.184,0.1885412921011627,0.20467369124300147,0.0,2
恋のタイムマシン,0.532,0.938,0.0662,0.331,0.459,0.8571856646290303,0.7305002650555164,0.8181818181818182,4
おしえてA to Z,0.5,0.941,0.0564,0.213,0.84,0.9062687282752008,0.7815216365181146,0.5454545454545454,4
つぼみのままで,0.731,0.553,0.398,0.0809,0.747,0.5002397219225699,0.7510584066169477,0.7272727272727273,0
神様Rescue Me!!,0.715,0.875,0.148,0.111,0.908,0.7871868632386433,0.3244279521012004,0.7272727272727273,4
まだ好きでいさせて,0.64,0.852,0.129,0.319,0.901,0.800731151863838,0.33197295707553,0.09090909090909091,3
Melody,0.731,0.751,0.118,0.0888,0.935,0.6248951216588757,0.49194303848025145,0.09090909090909091,3
童話迷宮,0.556,0.829,0.134,0.421,0.875,0.7762795157617164,0.781921035241491,0.5454545454545454,4
Beautiful Amulet,0.499,0.709,0.0335,0.313,0.714,0.7490111470693995,0.8251868096756156,0.5454545454545454,1
好きだって言えなくて,0.538,0.992,0.0334,0.251,0.542,0.9877741819489392,0.7022736680052575,0.45454545454545453,1
Spring fever,0.431,0.915,0.00383,0.402,0.78,0.7966558791801511,0.7448931426870093,0.2727272727272727,1
Kiss away ~幻の森~,0.68,0.65,0.0182,0.518,0.546,0.681349634424068,0.5134597369777862,1.0,0
眠れぬ夜につかまえて,0.579,0.757,0.0145,0.295,0.713,0.710715569938871,0.7675644665848504,0.09090909090909091,1
プレゼント,0.672,0.759,0.0385,0.111,0.748,0.6489272443965001,0.49118055000835104,0.5454545454545454,4
上海夜曲,0.614,0.538,0.101,0.292,0.45,0.6396380198969197,0.2869716136434604,0.09090909090909091,3
微笑みのプルマージュ,0.163,0.647,0.0868,0.107,0.42,0.7391226177633946,0.0859578670655813,0.5454545454545454,0
Finale~Sweet full moon~,0.653,0.206,0.183,0.0591,0.281,0.1608534100443486,0.4187514069727755,0.09090909090909091,2
恋のチカラ,0.67,0.448,0.649,0.112,0.532,0.4721323265012585,0.44700705120291634,1.0,0
レゾンデートルの鍵,0.588,0.455,0.608,0.287,0.335,0.7028646769747094,0.18668622510112048,0.8181818181818182,0
めろ~んのテーマ~ゆかり王国国歌~,0.489,0.973,0.0931,0.843,0.675,0.7841304087258779,0.8041566514411032,0.0,1
恋歌姫 - 蜜月夜バージョン,0.684,0.612,0.525,0.131,0.755,0.5565144432458349,0.41148235020732427,0.09090909090909091,3
Shooting Star,0.738,0.957,0.0872,0.289,0.967,0.6383794798034281,0.44071833675848,0.5454545454545454,4
POWDER RAINBOW,0.588,0.726,0.254,0.0492,0.548,0.5787486515641855,0.636641565062052,0.7272727272727273,0
fancy baby doll,0.639,0.894,0.0336,0.389,0.692,0.7508090614886732,0.2155736454936931,0.36363636363636365,3
眠れぬ夜につかまえて,0.577,0.821,0.014,0.289,0.706,0.8387270765911543,0.7673103037608837,0.09090909090909091,1
Fantastic future,0.456,0.995,0.00884,0.42,0.466,0.9380318830157018,0.7962267713333382,0.5454545454545454,1
Cherry Kiss,0.327,0.94,0.00383,0.33,0.597,0.9088457389428264,0.8473643315154641,0.36363636363636365,1
My wish My love,0.488,0.64,0.0439,0.265,0.521,0.6697231211794319,0.12899126406065045,0.36363636363636365,3
恋のアゲハ,0.554,0.769,0.303,0.141,0.74,0.8012705261896201,0.3474405803626541,1.0,0
コハクノウタ *祈り*,0.347,0.174,0.978,0.0914,0.141,0.1806903991370011,0.527082864342408,0.36363636363636365,2
interlude II 〜milky way〜,0.241,0.238,0.909,0.176,0.222,0.3603619801030804,0.2957293383778603,0.9090909090909091,2
純愛レッスン,0.479,0.939,7.86e-05,0.155,0.84,0.8957209636821288,0.8691860254017588,0.09090909090909091,1
Amazing Kiss,0.648,0.871,0.00199,0.08,0.798,0.7247393024092054,0.5419332350570414,0.6363636363636364,4
interlude I 〜day's eye〜,0.431,0.421,0.786,0.313,0.425,0.5956490471053578,0.35449904507396135,0.5454545454545454,2
青空にあいたい,0.714,0.472,0.0806,0.319,0.354,0.39679971233369293,0.7820081767811368,0.0,3
ラブラブベイビーハッピースター,0.55,0.921,0.0259,0.306,0.885,0.8784010547764594,0.7972434226292054,0.7272727272727273,4
上弦の月,0.7,0.309,0.841,0.221,0.399,0.5447680690399137,0.41791630055117024,0.45454545454545453,2
心の扉,0.612,0.447,0.669,0.0829,0.317,0.6310080306844061,0.1281053250742518,0.5454545454545454,2
les larmes de la lune,0.637,0.591,0.326,0.224,0.49,0.5465659834591874,0.6348769488842253,0.45454545454545453,0
summer melody,0.593,0.99,0.0202,0.0708,0.568,0.7962962962962964,0.6371353671200447,0.18181818181818182,3
Tiny Rainbow,0.663,0.686,0.309,0.137,0.783,0.7284549922090375,0.4625255070548338,0.9090909090909091,0
Heavenly Stars,0.592,0.916,0.000553,0.275,0.574,0.8253625794078868,0.4043440057513416,0.09090909090909091,3
チェルシーガール,0.64,0.806,0.0345,0.144,0.704,0.8942826321467099,0.23733724502022405,0.36363636363636365,3
春色の風、今も・・・。,0.673,0.58,0.0454,0.343,0.678,0.5614886731391585,0.20842803924274,0.0,3
Moonlight secret,0.685,0.953,0.178,0.362,0.72,0.8504734507970755,0.5206561757935326,0.2727272727272727,3
Gratitude,0.556,0.912,0.00954,0.415,0.685,0.8598226057772984,0.5499284713195408,0.5454545454545454,4
You & Me,0.553,0.973,0.296,0.194,0.821,0.9124415677813736,0.709317609126624,1.0,4
アンドロメダまで1hour,0.607,0.944,0.00295,0.32,0.913,0.7636941148268009,0.5648732453687902,0.6363636363636364,4
涙のループ,0.616,0.6,0.28,0.155,0.611,0.7392424787246794,0.309984241904914,0.6363636363636364,0
Love Sick,0.613,0.795,0.223,0.206,0.769,0.7876663070837828,0.3178850748327971,0.09090909090909091,3
A Day Of Little Girl ~姫とウサギとおしゃべりこねこ~,0.713,0.791,0.208,0.313,0.632,0.7338487354668585,0.5135614021073729,0.8181818181818182,0
Super Special Smiling Shy girl,0.511,0.936,0.00126,0.222,0.723,0.9022533860721563,0.21205167493300991,0.45454545454545453,4
うたかた,0.503,0.205,0.962,0.167,0.323,0.300731151863838,0.33477600993413553,0.0,2
プラチナLover's Day,0.641,0.981,0.228,0.288,0.787,0.9096847656718207,0.491725184631137,0.45454545454545453,4
裸足のプリンセス,0.595,0.833,0.103,0.229,0.574,0.8250629270046745,0.4770345734058544,0.18181818181818182,3
