title	acoste_rate	acoste_count	ancore_rate	ancore_count	release_date	cd	
Baby's Breath	--	--	30%	7	2002/08/07	Baby’s Breath	
Gratitude	--	--	77%	33	2010/09/08	シトロンの雨	
Little Wish	--	--	17%	6	2004/10/21	Little Wish～lyrical step～	
君をつれて	0.25	2	--	--	2005/05/25	恋せよ女の子	
La La Love Call	--	--	93%	27	2020/06/24	Candy tuft	
Melody	--	--	--	--	2007/05/09	星空のSpica	
チェルシーガール	--	--	6%	3	2008/02/27	十六夜の月	
W:Wonder tale	--	--	29%	14	2013/02/06	W:Wonder tale	
Exactly	19%	6	--	--	2021/04/28	あいことば。	
未来パラソル	--	--	50%	1	2005/11/10	極上生徒会ベストアルバム	
Tremolo Mellow	--	--	--	--	2021/04/28	あいことば。	
ケセラセラ	18%	6	24%	8	2021/04/28	あいことば。	
雨のパンセ	27%	6	--	--	2015/04/01	好きだって言えなくて	
デイジー・ブルー	--	--	--	--	2006/04/19	銀の旋律	
ブルジェオンの薔薇	--	--	--	--	2023/04/19	かくれんぼ。	
Hello Again	--	--	11%	1	2017/11/15	Princess♡Limited	
Honey Moon	--	--	2%	1	2003/11/06	蒼空に揺れる蜜月の小舟。	
プレゼント	8%	1	42%	5	2006/12/20	Princess Rose	
永遠のひとつ	--	--	--	--	2018/08/15	永遠のひとつ	
Cherry Kiss	23%	7	--	--	2009/02/04	木漏れ日の花冠	
恋のタイムマシン	--	--	--	--	2008/12/01	Tomorrow	
Super Special Smiling Shy girl	--	--	68%	27	2009/02/16	You&Me	
fancy baby doll	20%	25	17%	21	2006/04/19	銀の旋律	
Fanfare	--	--	--	--	2023/04/19	かくれんぼ。	
うらはら兎のねがいこと	--	--	--	--	2023/04/19	かくれんぼ。	
My wish My love	--	--	63%	10	2010/01/27	My wish My love	
candy smile	--	--	28%	11	2005/05/25	恋せよ女の子	
上弦の月	69%	9	--	--	2008/02/27	十六夜の月	
嘘	100%	25	--	--	2020/06/24	Candy tuft	
Fortune of Love	--	--	15%	4	2002/09/25	花降り月夜と恋曜日。	
Umbrella Sign	--	--	--	--	2021/04/28	あいことば。	
それは奇跡なんかじゃない	--	--	100%	25	2021/04/28	あいことば。	
ガラスの靴にMoonglow	--	--	--	--	2017/11/15	Princess♡Limited	
Princess Rose	--	--	--	--	2006/12/20	Princess Rose	
ひとりあやとり	50%	12	--	--	2013/11/20	螺旋の果実	
未来の果てにEscort	30%	6	--	--	2019/05/22	Strawberry candle	
ゆかりはゆかり♥	--	--	74%	17	2017/11/15	Princess♡Limited	
チクチク	--	--	--	--	2019/02/26	Trouble Emotion	
涙のち晴れマーク	--	--	--	--	2020/06/24	Candy tuft	
童話迷宮	--	--	36%	12	2006/08/02	童話迷宮	
好きだって言えなくて	--	--	34%	12	2015/04/01	好きだって言えなくて	
Tiny Rainbow	--	--	23%	4	2010/01/27	My wish My love	
くちびるプラトニック	--	--	--	--	2023/04/19	かくれんぼ。	
忘れな月	--	--	--	--	2023/04/19	かくれんぼ。	
惑星のランデブー	--	--	4%	2	2005/03/02	琥珀の詩	
Sweetest Love	--	--	--	--	2003/03/05	True Romance	
Cursed Lily	--	--	--	--	2006/04/19	銀の旋律	
宵待ちの花	11%	1	--	--	2006/04/19	銀の旋律
