song title  rerity
夢見月のアリス	5481
うたかた	4200
君へ	4066
虹の奇跡	3753
心の扉	3717
Sensitive Venus	3641
月華	3618
追い風	3573
おしえて A to Z	3524
最果ての森	3440
Like a rabbit	3410
センチメンタルジャーニー	3290
１７才	3287
つぼみのままで	3240
ラムのラブソ ング	3185
フルーツ	3151
お気に召すまま	3018
好き...でもリベンジ	3017
ナルシスが嘘をつく	2988
Love parade	2856
君をつれて	2856
Luminous Party	2810
不可触な愛	2807
咲かせて乙女	2795
Traveling with a sheep	2779
さよならをおしえて	2778
恋のアゲハ	2673
秘密の扉から会いにきて	2673
恋歌姫	2663
あなただけに〜its only my Love〜	2653
未来パラソル	2648
Cherry Kiss	2618
Jelly Fish	2612
PINK AQUARIUM	2603
恋と夢と空時計	2569
Passion Error	2554
My life is great	2551
砂落ちる水の宮殿	2533
Luv Fanatic	2533
夢色ラビリンス	2414
Butterfly*kiss	2402
Lovely Magic	2343
Baby’s Breath	2332
こっちを向いて	2315
ねぇ恋しちゃったかな	2279
Spring fever	2210
Baby blue sky	2210
プレゼント	2202
Fortune of Love	2193
ひとひらの恋	2169
まだ好きでいさせて	2155
プッチャン音頭	2130
Black cherry	2073
Amazing Kiss	1953
パピィラヴ	1919
デイジー ブルー	1912
LUNATICA MARE	1883
AMBER  〜人魚の涙〜	1863
虹色バルーン	1855
Masquerade kiss	1851
恋せよ女の子	1823
アンジュ パッセ	1789
宵待ちの花	1785
永遠	1756
miss you	1714
Don't wake me☆Up	1711
だって×2ウキウキ	1710
エアシューター	1708
めろ〜ん音頭〜Festival of Kingdom〜	1672
太陽のイヴ	1622
Picnic	1593
めろ〜んのテーマ 〜ゆかり王国国歌〜	1575
あのね Love me Do	1561
コードレス☆照れ☆PHONE	1501
Cutie Cutie	1498
floral blue	1479
神聖炉	1456
涙のループ	1455
神 様Rescue me!!	1454
ひとりあやとり	1436
you	1428
レリーフのひとかけら	1428
Cursed Lily	1370
満月のセンシビリティー	1339
雨のパンセ	1336
教えて ヴィヴァルディ	1336
Super Special Day	1328
天使のお仕事	1323
YOURS EVER	1322
優しい夜に。	1314
MERRY MERRY MERRY MENU・・・ね！	1292
ラブサイン	1277
100 CARAT HEART	1276
星降る夢で逢いましょう	1253
レゾンデー トルの鍵	1247
Hello Again	1232
星屑スパイラル	1217
Sympathy of Love	1217
シュガー チューン	1211
Sweetest Love	1189
Snow bird	1189
W:Wonder tale	1167
ゆかりはゆかり	1167
Libido zone	1167
逢うたびキミを好きになる	1167
恋は天使のチャイムから	1167
恋は波のように	1145
雨音はモノクローム	1140
ひと夏の秘密	1136
恋のヒメヒメぺったんこ	1136
純愛レッスン	1108
バンビーノ・バンビーナ	1106
Prince On A Star〜PrincessWhispers〜	1091
Sweet Darlin'	1077
蝶々結び	1070
上弦の月	1058
ラブリィ レクチャー	1057
Little Wish 〜first step〜	1052
未来の果てにEscort	1027
LOVE ME NOW！	1009
Honey Moon	1007
candy smile	972
アンドロメダ まで1hour	972
君とLOVE	968
My wish My love	966
†メタウサ姫 〜黒ゆかり王国ミサ〜†	955
Super Special Smiling Shy girl	954
Fantastic future	954
この指とまれ	954
ラブラブベイビーハッピースター	954
エトランゼ	930
恋のタイムマシン	913
Spiritual Garden	869
Tiny Rainbow	859
You & Me	849
チェルシーガール	842
惑星のランデブー	842
チアガール in my heart	834
パーティーは終わらない	823
Gratitude	822
fancy baby doll	821
もうちょっとFall in Love	821
エキセントリック・ラヴァー	821
Happy Life	798
Beautiful Amulet	769
Doki Doki ☆ π パイン	762
ほんのり桜色	762
ときめきフォーリンラブ	762
Jealous	762
好きだって言えなくて	761
女豹	761
SUN SUN サマー Touch Me	761
ココナッツガールは誘われたい	761
mon cheri	717
Love Sick	688
Tomorrow	688
大好きと涙	660
I.N.G.	657
ガラスの靴にMoonglow	639
聴こ えないように	639
Darling Darling	639
シレーヌの心音	639
チクチク	639
Eternity	638
星空のSpica	637
恋するラズベリー	637
Sand Mark	637
流れ星ジェニー	622
童話迷宮	573
Princess Rose	532
Heavenly Stars	456
スパークリング☆トラベラー	454
Double Fascination	453
きらら時間旅行	433
Melody	420
Ever-Never-Land	403
Catch me Cats me	391
Under Lover	391
涙のち晴れマーク	391
Tremolo Mellow	391
La La Love call	391
初恋	364
SUKI・・・っていいでしょ？	364
プラチナLover's Day	355
Rainy Rainy Sunday	343
Goody & Happy	329
Moonlight secret	322
アシンメトリー	265
ケセラセラ	251
Exactly	251
HITOME VOLTAGE	245
幽玄サクリファイス	245
SECRET EYES	238
SUKI KIRAI	238
ENDLESS MEMORIES	238
Trouble Emotion	231
Shining Rabbit	231
ジェラシーのその後で	231
Sweet Trap	231
14秒後にKISSして	222
眠れぬ夜につかまえて	217
Sugar Time Trip	209
Endless Story	204
1、2、の3シャイン	192
Lost Sequence	150
